Area_Name,State,Cardiovascular Deaths Per 100K,,
Midland,MI,390.1,  ,
Penuelas,PR,390.1,  ,
Montgomery,PA,390.1,  ,
Monmouth,NJ,390.2,  ,
Jefferson,OR,390.3,  ,
Craig,VA,390.3,  ,
Barron,WI,390.4,  ,
Crook,WY,390.4,  ,
Sargent,ND,390.4,  ,
Flagler,FL,390.5,  ,
Berkeley,SC,390.5,  ,
Madison,IA,390.6,  ,
Dubuque,IA,390.7,  ,
Merrick,NE,390.8,  ,
Utah,UT,390.8,  ,
Cobb,GA,390.9,  ,
Monroe,WI,391.6,  ,
Mason,WA,391.6,  ,
McCormick,SC,391.7,  ,
Stutsman,ND,391.8,  ,
Miami-Dade,FL,391.9,  ,
Douglas,KS,391.9,  ,
Natrona,WY,391.9,  ,
Los Angeles,CA,392,  ,
Emmet,IA,392.1,  ,
Juneau,WI,392.1,  ,
Jasper,SC,392.2,  ,
Windsor,VT,392.2,  ,
Box Butte,NE,392.2,  ,
Duchesne,UT,392.3,  ,
Day,SD,392.4,  ,
Franklin,ME,392.4,  ,
Outagamie,WI,392.6,  ,
Taylor,WI,392.6,  ,
Onondaga,NY,392.7,  ,
Hampden,MA,392.8,  ,
Dunn,ND,393,  ,
Fulton,GA,393,  ,
Jackson,MN,393.1,  ,
Adams,WA,393.1,  ,
Guadalupe,TX,393.1,  ,
Grant,SD,393.2,  ,
Faulk,SD,393.3,  ,
Pondera,MT,393.3,  ,
Chippewa,WI,393.4,  ,
Hughes,SD,393.5,  ,
Furnas,NE,393.5,  ,
Seminole,FL,393.6,  ,
DeKalb,IL,393.6,  ,
Rawlins,KS,393.8,  ,
Caswell,NC,393.8,  ,
Macon,NC,393.9,  ,
Polk,WI,393.9,  ,
Converse,WY,393.9,  ,
Republic,KS,394,  ,
McMullen,TX,394.1,  ,
Amador,CA,394.2,  ,
Hodgeman,KS,394.5,  ,
Poweshiek,IA,394.5,  ,
Washington,OH,394.5,  ,
Garfield,WA,394.5,  ,
Terrell,TX,394.6,  ,
Jackson,NC,394.6,  ,
Clinton,NY,394.6,  ,
Noble,OH,394.7,  ,
Las Animas,CO,394.8,  ,
York,PA,394.9,  ,
Beadle,SD,395,  ,
Highlands,FL,395,  ,
McPherson,KS,395,  ,
Harlan,NE,395,  ,
Richland,MT,395,  ,
Saline,KS,395.1,  ,
Stafford,KS,395.2,  ,
Lac qui Parle,MN,395.5,  ,
Clatsop,OR,395.5,  ,
Osceola,IA,395.6,  ,
Pasco,FL,395.7,  ,
Winchester,VA,395.7,  ,
Johnson,NE,395.9,  ,
Baker,OR,396,  ,
Frederick,MD,396,  ,
Mifflin,PA,396,  ,
Allegan,MI,396.1,  ,
Hitchcock,NE,396.1,  ,
Hall,NE,396.2,  ,
Morgan,UT,396.2,  ,
Madison,VA,396.3,  ,
Washtenaw,MI,396.3,  ,
Seneca,NY,396.6,  ,
Hardee,FL,396.6,  ,
Lincoln,WI,396.6,  ,
Ransom,ND,396.7,  ,
Big Stone,MN,396.7,  ,
Kalamazoo,MI,396.8,  ,
Twin Falls,ID,396.8,  ,
Rio Grande,CO,396.9,  ,
Wibaux,MT,396.9,  ,
Cabarrus,NC,397,  ,
Switzerland,IN,397.2,  ,
Polk,NC,397.3,  ,
Aroostook,ME,397.3,  ,
Carroll,VA,397.3,  ,
Cottonwood,MN,397.4,  ,
Elmore,ID,397.4,  ,
Douglas,IL,397.4,  ,
Owyhee,ID,397.5,  ,
Plumas,CA,397.7,  ,
Kerr,TX,397.8,  ,
Buckingham,VA,397.9,  ,
Grand Traverse,MI,397.9,  ,
Hickory,MO,397.9,  ,
Garfield,MT,398,  ,
Pawnee,NE,398.1,  ,
Crawford,IA,398.1,  ,
Calhoun,IL,398.2,  ,
Ferry,WA,398.2,  ,
Orange,NY,398.3,  ,
Gooding,ID,398.4,  ,
Dewey,SD,398.4,  ,
Wabaunsee,KS,398.5,  ,
Logan,ND,398.5,  ,
Golden Valley,ND,398.5,  ,
Bon Homme,SD,398.6,  ,
Henrico,VA,398.6,  ,
Manitowoc,WI,398.7,  ,
Door,WI,398.7,  ,
Queen Anne's,MD,398.8,  ,
Polk,IA,398.8,  ,
Cherokee,GA,398.8,  ,
Jerome,ID,398.9,  ,
Pipestone,MN,398.9,  ,
Franklin County,VA,399,  ,
Montgomery,VA,399.1,  ,
Powell,MT,399.1,  ,
Towner,ND,399.1,  ,
Sanders,MT,399.3,  ,
Worth,IA,399.3,  ,
Fremont,CO,399.3,  ,
Greenlee,AZ,399.3,  ,
Person,NC,399.4,  ,
Morgan,OH,399.5,  ,
Columbia,WI,399.5,  ,
Guánica,PR,399.5,  ,
Eau Claire,WI,399.7,  ,
Lampasas,TX,399.7,  ,
Liberty,MT,399.7,  ,
Hot Springs,WY,399.8,  ,
Brown,IN,399.9,  ,
Kitsap,WA,400,  ,
Hood,TX,400.3,  ,
Caledonia,VT,400.3,  ,
Columbia,OR,400.5,  ,
Cochise,AZ,400.6,  ,
Alexander,NC,400.8,  ,
Judith Basin,MT,400.8,  ,
Bell,TX,400.8,  ,
Marquette,WI,400.9,  ,
Washburn,WI,400.9,  ,
Audubon,IA,400.9,  ,
Louisa,VA,401,  ,
Kane,UT,401,  ,
Hood River,OR,401.1,  ,
Richland,WI,401.2,  ,
Dimmit,TX,401.3,  ,
Posey,IN,401.4,  ,
Brazos,TX,401.5,  ,
Kootenai,ID,401.9,  ,
Jim Hogg,TX,402.1,  ,
Roberts,SD,402.1,  ,
Cortland,NY,402.2,  ,
Red Willow,NE,402.2,  ,
Lincoln,ME,402.2,  ,
Wilkes,NC,402.4,  ,
Ulster,NY,402.5,  ,
Windham,CT,402.5,  ,
Scott,IA,402.8,  ,
Knox,ME,402.9,  ,
Montour,PA,403,  ,
Fremont,WY,403.1,  ,
Seward,NE,403.1,  ,
Shelby,AL,403.1,  ,
Colusa,CA,403.1,  ,
Belknap,NH,403.3,  ,
Alamance,NC,403.3,  ,
Greene,OH,403.3,  ,
Mineral,MT,403.5,  ,
Christian,MO,403.6,  ,
Hillsborough,FL,403.6,  ,
Rock,MN,403.7,  ,
Platte,NE,403.7,  ,
Polk,NE,403.7,  ,
Bath,VA,403.7,  ,
Greenville,SC,403.7,  ,
Providence,RI,403.8,  ,
Miner,SD,403.8,  ,
Lake,OR,403.9,  ,
Okaloosa,FL,403.9,  ,
Washington,KS,403.9,  ,
Ellis,KS,404,  ,
Sanborn,SD,404,  ,
Walworth,WI,404,  ,
Forsyth,NC,404.1,  ,
Campbell,WY,404.3,  ,
Woodford,KY,404.4,  ,
Hamilton,IA,404.4,  ,
Dixon,NE,404.7,  ,
Stanton,KS,404.8,  ,
Fairbanks North Star,AK,404.9,  ,
Vernon,WI,404.9,  ,
Conejos,CO,405,  ,
Winneshiek,IA,405,  ,
Menard,IL,405,  ,
Jerauld,SD,405.2,  ,
Franklin,PA,405.2,  ,
Charlottesville,VA,405.3,  ,
Carroll,IA,405.3,  ,
Traverse,MN,405.4,  ,
Graham,AZ,405.5,  ,
Oconee,GA,405.5,  ,
Towns,GA,405.5,  ,
Greeley,KS,405.6,  ,
Davie,NC,405.7,  ,
Davis,UT,405.9,  ,
Brookings,SD,406,  ,
Lincoln,KS,406,  ,
Muscatine,IA,406.2,  ,
Madera,CA,406.2,  ,
Greeley,NE,406.2,  ,
Powder River,MT,406.3,  ,
Dodge,WI,406.5,  ,
Morgan,WV,406.6,  ,
New Castle,DE,406.6,  ,
Washington,IA,406.6,  ,
Osborne,KS,406.9,  ,
Brown,WI,406.9,  ,
Yankton,SD,407.1,  ,
Hampshire,WV,407.2,  ,
Langlade,WI,407.3,  ,
Pike,PA,407.3,  ,
Phillips,KS,407.4,  ,
Adair,IA,407.4,  ,
Tioga,NY,407.4,  ,
Adams,NE,407.6,  ,
Holt,MO,407.7,  ,
Buffalo,WI,407.7,  ,
Penobscot,ME,407.8,  ,
Kennebec,ME,407.8,  ,
Medina,OH,407.8,  ,
Hardin,IA,407.9,  ,
Calumet,WI,408,  ,
Washington,NY,408.1,  ,
Orange,FL,408.2,  ,
Bandera,TX,408.2,  ,
Comal,TX,408.3,  ,
Cass,MO,408.3,  ,
Shelby,IA,408.6,  ,
Johnson,WY,408.8,  ,
Floyd,VA,408.9,  ,
Minnehaha,SD,408.9,  ,
Surry,VA,409,  ,
Rabun,GA,409.1,  ,
Wayne,UT,409.3,  ,
Jefferson,KS,409.5,  ,
Fillmore,NE,409.5,  ,
Yancey,NC,409.5,  ,
Iredell,NC,409.6,  ,
Lexington,SC,409.6,  ,
Rusk,WI,409.6,  ,
Essex,NJ,409.8,  ,
Androscoggin,ME,410.1,  ,
Union,NM,410.2,  ,
Valley,NE,410.3,  ,
McIntosh,GA,410.3,  ,
Carbon,WY,410.3,  ,
Pecos,TX,410.3,  ,
Boone,IL,410.4,  ,
Graham,KS,410.6,  ,
Garden,NE,410.6,  ,
Moody,SD,410.8,  ,
Isle of Wight,VA,410.9,  ,
Clarke,VA,411,  ,
Rutland,VT,411,  ,
Orange,VA,411.1,  ,
Lancaster,SC,411.2,  ,
Dawson,GA,411.3,  ,
Lycoming,PA,411.4,  ,
Garfield,UT,411.5,  ,
Braxton,WV,411.5,  ,
Miami,KS,411.5,  ,
Piatt,IL,411.5,  ,
Clay,FL,411.6,  ,
Lorain,OH,411.8,  ,
Kendall,TX,412,  ,
Sullivan,NY,412.3,  ,
Franklin,NE,412.4,  ,
Ford,KS,412.4,  ,
Dickinson,IA,412.6,  ,
Clay,IA,412.7,  ,
Waldo,ME,412.7,  ,
Somervell,TX,412.7,  ,
Walton,FL,412.8,  ,
Union,GA,412.9,  ,
Shelby,KY,412.9,  ,
Grant,KS,413,  ,
Ida,IA,413,  ,
Rankin,MS,413.1,  ,
Hamilton,NY,413.1,  ,
Bennington,VT,413.1,  ,
Williams,ND,413.2,  ,
Garrard,KY,413.2,  ,
Queens,NY,413.4,  ,
Green Lake,WI,413.4,  ,
Perkins,SD,413.5,  ,
White Pine,NV,413.5,  ,
Shawnee,KS,413.5,  ,
Porter,IN,413.6,  ,
Lake,SD,413.6,  ,
Wilson,TN,413.6,  ,
Botetourt,VA,413.6,  ,
St. Mary's,MD,413.7,  ,
Broward,FL,413.8,  ,
Washington,ID,413.9,  ,
Louisa,IA,414,  ,
Nelson,ND,414,  ,
Erie,PA,414,  ,
Sherman,OR,414.1,  ,
Wexford,MI,414.1,  ,
Sussex,NJ,414.2,  ,
Pottawattamie,IA,414.2,  ,
Genesee,NY,414.3,  ,
Asotin,WA,414.3,  ,
Albany,NY,414.4,  ,
Telfair,GA,414.4,  ,
Del Norte,CA,414.6,  ,
Antrim,MI,414.7,  ,
Columbia,NY,415,  ,
Harvey,KS,415,  ,
Harding,SD,415,  ,
Sauk,WI,415.1,  ,
Stone,AR,415.3,  ,
Dutchess,NY,415.6,  ,
Charles City,VA,415.6,  ,
Wilson,TX,415.6,  ,
Madison,NE,415.7,  ,
Callaway,MO,415.9,  ,
Grundy,IL,416.1,  ,
Wadena,MN,416.4,  ,
Ingham,MI,416.4,  ,
York,SC,416.4,  ,
Livingston,MO,416.6,  ,
Harney,OR,416.8,  ,
Montgomery,TX,416.8,  ,
Sheridan,WY,416.8,  ,
Harris,TX,417.2,  ,
Kinney,TX,417.3,  ,
Otero,NM,417.3,  ,
Faribault,MN,417.3,  ,
Sedgwick,KS,417.6,  ,
Oglethorpe,GA,417.6,  ,
Edwards,KS,417.7,  ,
Schoolcraft,MI,417.8,  ,
Yadkin,NC,417.8,  ,
Uinta,WY,417.8,  ,
Hancock,IL,417.9,  ,
Jackson,IL,417.9,  ,
Manassas,VA,418,  ,
Wells,ND,418.1,  ,
Harper,KS,418.2,  ,
Wasco,OR,418.5,  ,
Kenton,KY,418.6,  ,
Tipton,IN,418.7,  ,
Cayuga,NY,418.8,  ,
Webster,NE,418.8,  ,
Emmet,MI,418.8,  ,
Will,IL,418.9,  ,
Campbell,KY,418.9,  ,
Chouteau,MT,419,  ,
Maverick,TX,419,  ,
Pierce,ND,419.2,  ,
Monroe,IL,419.2,  ,
Pratt,KS,419.4,  ,
Griggs,ND,419.4,  ,
Juniata,PA,419.4,  ,
McCook,SD,419.5,  ,
Uintah,UT,419.6,  ,
Brown,NE,419.7,  ,
Sacramento,CA,419.8,  ,
Glasscock,TX,419.8,  ,
Hamilton,KS,419.9,  ,
Monroe,PA,420,  ,
Orleans,VT,420.1,  ,
Williamson,IL,420.1,  ,
Gila,AZ,420.1,  ,
Oneida,WI,420.2,  ,
Kent,MI,420.3,  ,
Luce,MI,420.3,  ,
Atchison,MO,420.5,  ,
Warren,OH,420.5,  ,
Hendricks,IN,420.5,  ,
Douglas,SD,420.5,  ,
Ottawa,KS,420.6,  ,
Antelope,NE,420.6,  ,
Graham,NC,420.7,  ,
Franklin,IN,420.7,  ,
Benewah,ID,420.8,  ,
Adams,PA,420.9,  ,
Johnson,IL,421,  ,
Clay,NC,421.1,  ,
Boone,IA,421.2,  ,
Benton,AR,421.2,  ,
Grays Harbor,WA,421.2,  ,
Rockdale,GA,421.3,  ,
Fayette,IL,421.3,  ,
Cheyenne,NE,421.3,  ,
Schoharie,NY,421.4,  ,
Sac,IA,421.4,  ,
Oconto,WI,421.4,  ,
Burlington,NJ,421.5,  ,
Baxter,AR,421.7,  ,
Marion,KS,421.8,  ,
St. Tammany,LA,421.8,  ,
Cassia,ID,421.9,  ,
Harrison,IA,422.1,  ,
Lake,CA,422.5,  ,
Washington,VA,422.5,  ,
Bedford County,VA,422.5,  ,
Tuolumne,CA,422.8,  ,
Adams,IN,422.8,  ,
Long,GA,423,  ,
Catawba,NC,423,  ,
Suffolk,NY,423.1,  ,
Putnam,OH,423.1,  ,
Habersham,GA,423.1,  ,
Smith,KS,423.1,  ,
Wheeler,OR,423.2,  ,
Nodaway,MO,423.2,  ,
Washington,PA,423.2,  ,
Delaware,PA,423.3,  ,
Harford,MD,423.3,  ,
Palo Alto,IA,423.3,  ,
Nez Perce,ID,423.3,  ,
Chippewa,MI,423.5,  ,
Haywood,NC,423.5,  ,
Montgomery,NC,423.5,  ,
Alger,MI,423.6,  ,
Charlton,GA,423.6,  ,
Buena Vista,IA,423.8,  ,
West Feliciana,LA,423.8,  ,
Broome,NY,423.8,  ,
Linn,OR,423.8,  ,
Curry,OR,423.9,  ,
Cole,MO,423.9,  ,
Nueces,TX,423.9,  ,
Hyde,SD,424,  ,
Carroll,IN,424.1,  ,
Nassau,FL,424.1,  ,
Logan,IL,424.4,  ,
Charlevoix,MI,424.5,  ,
Lincoln,NC,424.5,  ,
Dare,NC,424.5,  ,
Edwards,TX,424.6,  ,
Kimble,TX,424.7,  ,
Warren,NJ,424.8,  ,
Steuben,IN,424.8,  ,
Manistee,MI,424.9,  ,
Dorchester,SC,425.1,  ,
Lee,AL,425.3,  ,
Mesa,CO,425.4,  ,
Nuckolls,NE,425.6,  ,
Scott,IL,425.8,  ,
Aiken,SC,425.8,  ,
La Paz,AZ,425.9,  ,
Otsego,NY,425.9,  ,
Eaton,MI,425.9,  ,
Kiowa,KS,426.1,  ,
Pocahontas,WV,426.1,  ,
Franklin,VT,426.3,  ,
Hidalgo,NM,426.3,  ,
Christian,IL,426.4,  ,
Polk,FL,426.4,  ,
Washington,ME,426.5,  ,
Franklin,NY,426.7,  ,
Lumpkin,GA,426.7,  ,
Davison,SD,426.8,  ,
Sussex,DE,426.9,  ,
Effingham,IL,426.9,  ,
Andrew,MO,426.9,  ,
Perry,PA,427.1,  ,
Boone,NE,427.2,  ,
Craven,NC,427.2,  ,
Kershaw,SC,427.3,  ,
Gates,NC,427.4,  ,
Harrison,IN,427.4,  ,
Barry,MI,427.5,  ,
San Saba,TX,427.5,  ,
Butte,ID,427.7,  ,
Foster,ND,427.9,  ,
Rock,WI,427.9,  ,
Grant,WA,428,  ,
Saluda,SC,428,  ,
Tarrant,TX,428.1,  ,
Tyler,WV,428.1,  ,
Prowers,CO,428.1,  ,
Barrow,GA,428.1,  ,
Lake and Peninsula,AK,428.1,  ,
Tama,IA,428.2,  ,
Potter,PA,428.2,  ,
Mackinac,MI,428.3,  ,
Nance,NE,428.4,  ,
Saline,NE,428.5,  ,
Aurora,SD,428.5,  ,
Dickinson,MI,428.6,  ,
Prince of Wales-Hyder,AK,428.6,  ,
Brevard,FL,428.7,  ,
Cleveland,OK,428.8,  ,
Fannin,GA,428.9,  ,
Sumner,KS,429,  ,
Warren,PA,429,  ,
Coweta,GA,429.1,  ,
Lincoln,LA,429.2,  ,
American Samoa,AS,429.2,  ,
Richardson,NE,429.3,  ,
Anne Arundel,MD,429.4,  ,
Baca,CO,429.5,  ,
Tippecanoe,IN,429.6,  ,
Klamath,OR,429.6,  ,
Delta,MI,429.7,  ,
Winnebago,IA,429.7,  ,
Trinity,CA,429.7,  ,
Wheeler,NE,429.8,  ,
Hand,SD,429.8,  ,
Nassau,NY,429.9,  ,
Huntingdon,PA,430,  ,
Berkeley,WV,430,  ,
Poquoson,VA,430,  ,
Caroline,VA,430.1,  ,
Shawano,WI,430.1,  ,
Guadalupe,NM,430.2,  ,
Clay,NE,430.2,  ,
Muskegon,MI,430.3,  ,
Carteret,NC,430.4,  ,
Lassen,CA,430.4,  ,
Trempealeau,WI,430.4,  ,
Cumberland,PA,430.4,  ,
Calhoun,SC,430.5,  ,
Kossuth,IA,430.6,  ,
Sangamon,IL,430.8,  ,
Gadsden,FL,430.8,  ,
Weber,UT,430.8,  ,
Marquette,MI,430.9,  ,
Sevier,UT,431,  ,
Garfield,NE,431.1,  ,
Gem,ID,431.1,  ,
Butler,PA,431.2,  ,
Spencer,KY,431.4,  ,
Osceola,FL,431.5,  ,
Macon,IL,431.7,  ,
Rosebud,MT,431.8,  ,
Jefferson,WV,431.9,  ,
Uvalde,TX,432,  ,
Ramsey,ND,432,  ,
Benson,ND,432.1,  ,
Shelby,IN,432.1,  ,
Mathews,VA,432.1,  ,
Tom Green,TX,432.2,  ,
Madison,OH,432.2,  ,
Sheboygan,WI,432.3,  ,
Menominee,MI,432.4,  ,
Shelby,IL,432.4,  ,
Schley,GA,432.6,  ,
Pittsylvania,VA,432.6,  ,
Rockwall,TX,432.6,  ,
Bradford,PA,432.8,  ,
Allegany,NY,432.8,  ,
Jefferson,KY,433,  ,
Leon,TX,433.1,  ,
Yellowstone,MT,433.2,  ,
Sutter,CA,433.4,  ,
Lincoln,NV,433.5,  ,
Nemaha,NE,433.5,  ,
Culberson,TX,433.6,  ,
Parker,TX,433.7,  ,
Hutchinson,SD,433.7,  ,
Putnam,FL,433.7,  ,
Golden Valley,MT,433.8,  ,
Westmoreland,VA,433.8,  ,
Price,WI,433.9,  ,
Rooks,KS,433.9,  ,
Montgomery,IL,433.9,  ,
Delta,CO,434,  ,
Pamlico,NC,434,  ,
Cook,IL,434.3,  ,
Vanderburgh,IN,434.3,  ,
Logan,KY,434.3,  ,
Meade,KS,434.4,  ,
Peoria,IL,434.4,  ,
Banks,GA,434.4,  ,
Butler,KS,434.5,  ,
Wahkiakum,WA,434.5,  ,
Chesapeake,VA,435,  ,
Clark,KS,435,  ,
Avery,NC,435.2,  ,
Charles Mix,SD,435.2,  ,
Bastrop,TX,435.4,  ,
Franklin,NC,435.4,  ,
Rensselaer,NY,435.6,  ,
Calvert,MD,435.7,  ,
Midland,TX,435.7,  ,
Johnson,IN,435.9,  ,
Jefferson,NE,436,  ,
Lyman,SD,436.1,  ,
Moultrie,IL,436.2,  ,
Crook,OR,436.3,  ,
Westmoreland,PA,436.3,  ,
Caldwell,TX,436.5,  ,
Jackson,MO,436.5,  ,
Treasure,MT,436.6,  ,
Newaygo,MI,436.6,  ,
Waller,TX,436.6,  ,
Tazewell,IL,436.7,  ,
Barton,KS,436.7,  ,
Black Hawk,IA,436.8,  ,
Sawyer,WI,436.8,  ,
Menard,TX,436.9,  ,
Adams,WI,437,  ,
Knox,TN,437.1,  ,
Hernando,FL,437.1,  ,
Buchanan,IA,437.2,  ,
Sutton,TX,437.2,  ,
Greene,NY,437.3,  ,
Osage,MO,437.4,  ,
Cleburne,AR,437.5,  ,
Riverside,CA,437.6,  ,
Meade,KY,437.7,  ,
Union,OH,437.7,  ,
Cowlitz,WA,437.7,  ,
Suffolk,VA,437.8,  ,
Dauphin,PA,437.9,  ,
Charles,MD,437.9,  ,
Socorro,NM,438,  ,
Steuben,NY,438,  ,
Des Moines,IA,438,  ,
Licking,OH,438.1,  ,
Fremont,ID,438.2,  ,
Gonzales,TX,438.3,  ,
Oldham,TX,438.4,  ,
Walker,TX,438.6,  ,
Piscataquis,ME,438.6,  ,
Bexar,TX,438.7,  ,
Susquehanna,PA,438.7,  ,
Scurry,TX,438.9,  ,
Wheeler,GA,438.9,  ,
Tioga,PA,439.2,  ,
Briscoe,TX,439.3,  ,
Cass,IN,439.4,  ,
Saginaw,MI,439.4,  ,
Kent,MD,439.6,  ,
Musselshell,MT,439.6,  ,
Russell,KS,439.6,  ,
Merced,CA,439.6,  ,
Kings,CA,439.7,  ,
Leavenworth,KS,439.8,  ,
Bartholomew,IN,440,  ,
Dallas,TX,440.1,  ,
Keweenaw,MI,440.5,  ,
Marinette,WI,440.6,  ,
Menominee,WI,440.7,  ,
Campbell,VA,440.7,  ,
Oneida,ID,440.7,  ,
Atchison,KS,440.8,  ,
Fountain,IN,440.9,  ,
Johnston,NC,440.9,  ,
Santa Rosa,FL,441.1,  ,
Osage,KS,441.2,  ,
Cheboygan,MI,441.4,  ,
Monroe,WV,441.4,  ,
Ogle,IL,441.5,  ,
San Joaquin,CA,441.5,  ,
Gloucester,VA,441.7,  ,
Cooke,TX,441.7,  ,
Grant,NE,441.8,  ,
Forest,WI,441.9,  ,
Mills,TX,442,  ,
Kings,NY,442.1,  ,
Somerset,ME,442.1,  ,
Anderson,KY,442.2,  ,
Keokuk,IA,442.5,  ,
Boyle,KY,442.6,  ,
Caldwell,MO,442.7,  ,
Perry,IL,442.8,  ,
Concho,TX,442.8,  ,
Irion,TX,442.8,  ,
Racine,WI,442.8,  ,
Rutherford,TN,442.9,  ,
Sumner,TN,442.9,  ,
Cumberland,TN,442.9,  ,
Yoakum,TX,443,  ,
Hancock,IA,443.1,  ,
Burke,NC,443.3,  ,
Pitt,NC,443.4,  ,
Jones,GA,443.5,  ,
Abbeville,SC,443.5,  ,
Clermont,OH,443.7,  ,
Indiana,PA,443.8,  ,
Lancaster,VA,444.1,  ,
McCone,MT,444.1,  ,
Lawrence,IN,444.2,  ,
Pierce,WA,444.2,  ,
Mercer,IL,444.3,  ,
De Witt,IL,444.3,  ,
Petroleum,MT,444.3,  ,
Livingston,MI,444.3,  ,
Henry,OH,444.3,  ,
Dickinson,KS,444.7,  ,
Ionia,MI,444.8,  ,
Lebanon,PA,444.8,  ,
Wayne,WV,444.9,  ,
Northumberland,VA,444.9,  ,
Big Horn,MT,444.9,  ,
Athens,OH,444.9,  ,
O'Brien,IA,444.9,  ,
Harris,GA,445,  ,
Surry,NC,445,  ,
Mariposa,CA,445.2,  ,
Nelson,KY,445.3,  ,
Pender,NC,445.3,  ,
Brazoria,TX,445.5,  ,
Buena Vista,VA,445.6,  ,
Nelson,VA,445.8,  ,
Franklin,IL,445.8,  ,
Warren,VA,445.9,  ,
Victoria,TX,445.9,  ,
Winnebago,IL,446,  ,
Erie,NY,446,  ,
Schenectady,NY,446.1,  ,
Richland,SC,446.1,  ,
Wayne,OH,446.2,  ,
Warren,MO,446.2,  ,
Prince George's,MD,446.3,  ,
Cumberland,IL,446.3,  ,
Grundy,IA,446.3,  ,
Florence,WI,446.3,  ,
Waynesboro,VA,446.4,  ,
Mitchell,KS,446.4,  ,
Lee,IL,446.7,  ,
Dinwiddie,VA,446.7,  ,
Franklin,IA,446.8,  ,
Kosciusko,IN,446.8,  ,
Butler,OH,447,  ,
Davidson,NC,447,  ,
Holt,NE,447.1,  ,
Fairfield,OH,447.2,  ,
Putnam,IN,447.2,  ,
Motley,TX,447.2,  ,
Dearborn,IN,447.4,  ,
Jefferson,LA,447.4,  ,
Columbia,PA,447.5,  ,
Edgefield,SC,447.8,  ,
St. Louis County,MO,447.8,  ,
Henderson,IL,447.8,  ,
Seward,KS,447.8,  ,
Allamakee,IA,447.9,  ,
Gasconade,MO,447.9,  ,
Love,OK,448,  ,
King William,VA,448,  ,
Defiance,OH,448.1,  ,
Bremer,IA,448.1,  ,
Jackson,IN,448.2,  ,
West Baton Rouge,LA,448.2,  ,
Noble,IN,448.3,  ,
Canyon,ID,448.3,  ,
Kiowa,CO,448.4,  ,
Monongalia,WV,448.5,  ,
Elk,PA,448.8,  ,
Turner,SD,448.8,  ,
Greenbrier,WV,448.9,  ,
Newport News,VA,448.9,  ,
Carroll,MD,448.9,  ,
Glynn,GA,449,  ,
Mason,IL,449,  ,
Oceana,MI,449.2,  ,
Hertford,NC,449.5,  ,
Butler,IA,449.5,  ,
York,NE,449.7,  ,
Randall,TX,449.7,  ,
McDowell,NC,449.8,  ,
Williams,OH,449.8,  ,
Stark,IL,449.8,  ,
Henry,KY,449.9,  ,
Austin,TX,449.9,  ,
Payette,ID,450.1,  ,
Hancock,OH,450.1,  ,
Crawford,MI,450.1,  ,
St. Lawrence,NY,450.5,  ,
Elliott,KY,450.5,  ,
Union,IA,450.5,  ,
Canadian,OK,450.6,  ,
Orangeburg,SC,450.6,  ,
Coke,TX,450.6,  ,
Richmond County,VA,450.7,  ,
Armstrong,PA,450.7,  ,
Ouachita,LA,450.7,  ,
Page,VA,450.9,  ,
Cowley,KS,451,  ,
